,NFE
Price/Earnings (TTM),38.87527
Price/Sales (TTM),4.28773
Price/Book (MRQ),5.73491
Price/Cash Flow (TTM),13.73147
5yr Low,7.01
5yr High,65.9
5yr Avg Return,0.7740250000000001
EPS Growth 5yr,
Revenue Growth 5yr,1.281587
Dividend Growth 5yr,
Short Int Current Month,5625526.0
Short Int Prev Month,4947476.0
Short Int Pct of Float,0.061249200000000004
Days to Cover,2.40268
Float,97.43433
Shares Outstanding,208.7701
Institutions Holding Shares,294.0
% Held by Institutions,0.478729
FCF Growth 5yr,1.1033412245081353
