,NFG
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.1205432937181663
Growth 1yr High Est,0.1803005008347245
Growth 1yr Consensus Est,0.1504218972764454
Growth 2yr Low Est,0.06254437413181047
Growth 2yr High Est,0.14743455027591945
Growth 2yr Consensus Est,0.10498946220386496
Growth 5yr Low Est,0.25697779539619386
Growth 5yr High Est,0.28769036437365403
Growth 5yr Consensus Est,0.272334079884924
Growth 5yr Actual/Est,0.26916388134587743
Growth 3yr Historic,0.20995186320528786
