,NKTR
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.26182965299684546
Growth 1yr High Est,-0.31785714285714284
Growth 1yr Consensus Est,-0.28984339792699415
Growth 2yr Low Est,-0.36168405726765346
Growth 2yr High Est,-0.6013369483919222
Growth 2yr Consensus Est,-0.4815105028297878
Growth 5yr Low Est,-0.1300579867801431
Growth 5yr High Est,-0.2611489988914504
Growth 5yr Consensus Est,-0.19560349283579676
Growth 5yr Actual/Est,-0.17283127317278005
Growth 3yr Historic,0.03417240390131954
