,NOV
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-1.5238095238095237
Growth 1yr High Est,-4.699999999999999
Growth 1yr Consensus Est,-3.1119047619047615
Growth 2yr Low Est,0.20779220779220764
Growth 2yr High Est,-2.397297297297297
Growth 2yr Consensus Est,-1.0947525447525446
Growth 5yr Low Est,-0.057550292844410635
Growth 5yr High Est,-2.203640375068946
Growth 5yr Consensus Est,-1.1305953339566785
Growth 5yr Actual/Est,-0.5105184331797235
Growth 3yr Historic,-0.15213133640552995
