,NOVA
% Above Low,0.8789
% Held by Institutions,1.2262
52-Wk Range,['12.47 - 38.56']
Annual Dividend $,
Annual Dividend %,
Ask,23.53
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,23.2
Bid Size,200.0
Change Since Close,-0.30| |(-1.28%)
Closing Price,23.43
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.29
Ex-dividend Date,No dividend
Historical Volatility,0.9
Last (size),100.0
Last (time),5:00p ET 11/25/22
Last Trade,23.13
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.43
Shares Outstanding,114.9M
Short Interest,0.2253
Today's Open,
Volume,4027.0
Volume 10-day Avg,3298559.0
Volume Past Day,(Light)
