,NSIT
Price/Earnings (TTM),14.54453
Price/Sales (TTM),0.34832
Price/Book (MRQ),2.25519
Price/Cash Flow (TTM),11.39725
5yr Low,28.25
5yr High,111.02
5yr Avg Return,0.20628333333333335
EPS Growth 5yr,0.20684650000000002
Revenue Growth 5yr,0.11459
Dividend Growth 5yr,
Short Int Current Month,2068238.0
Short Int Prev Month,2397904.0
Short Int Pct of Float,0.060420499999999995
Days to Cover,6.68582
Float,34.27067
Shares Outstanding,34.83116
Institutions Holding Shares,345.0
% Held by Institutions,1.074988
FCF Growth 5yr,-1.2161718325432949
