,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,39.89,56.86,71.78,77.33,107.86,111.02,,,,,
low,36.22,32.1,39.45,28.25,74.1,81.11,,,,,
change,-0.0217,0.06559999999999999,0.7459,0.0726,0.3911,-0.0158,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,104.0,115.0,138.0,137.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,2954.0,3042.0,3626.0,3063.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-17.0,-17.0,-15.0,-15.0,Balance Sheet
"Total Receivables, Net",,,,,,,2937.0,3026.0,3610.0,3048.0,Balance Sheet
Total Inventory,,,,,,,328.0,383.0,377.0,368.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,200.0,244.0,276.0,232.0,Balance Sheet
Total Current Assets,,,,,,,3568.0,3768.0,4401.0,3785.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,410.0,421.0,423.0,415.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,410.0,421.0,423.0,415.0,Balance Sheet
Accumulated Depreciation,,,,,,,-234.0,-231.0,-223.0,-214.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,249.0,190.0,200.0,201.0,Balance Sheet
"Goodwill, Net",,,,,,,428.0,429.0,495.0,494.0,Balance Sheet
Intangibles - Gross,,,,,,,326.0,326.0,351.0,345.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-111.0,-119.0,-126.0,-134.0,Balance Sheet
Intangibles - Net,,,,,,,215.0,207.0,225.0,212.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,147.0,106.0,138.0,154.0,Balance Sheet
Other Long Term Assets,,,,,,,82.0,149.0,145.0,152.0,Balance Sheet
Total Assets,,,,,,,4689.0,4850.0,5604.0,4998.0,Balance Sheet
Accounts Payable,,,,,,,2092.0,1942.0,2194.0,1858.0,Balance Sheet
Accrued Expenses,,,,,,,307.0,270.0,319.0,304.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,0.0,345.0,346.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,116.0,120.0,111.0,111.0,Balance Sheet
Total Current Liabilities,,,,,,,2515.0,2678.0,2969.0,2273.0,Balance Sheet
Long Term Debt,,,,,,,362.0,373.0,719.0,784.0,Balance Sheet
Capital Lease Obligations,,,,,,,0.0,,,,Balance Sheet
Total Long Term Debt,,,,,,,362.0,373.0,719.0,784.0,Balance Sheet
Total Debt,,,,,,,362.0,718.0,1065.0,784.0,Balance Sheet
Deferred Income Tax,,,,,,,47.0,37.0,39.0,37.0,Balance Sheet
"Other Liabilities, Total",,,,,,,256.0,223.0,264.0,283.0,Balance Sheet
Total Liabilities,,,,,,,3180.0,3311.0,3991.0,3377.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,368.0,322.0,327.0,331.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1168.0,1242.0,1331.0,1366.0,Balance Sheet
"Other Equity, Total",,,,,,,-27.0,-25.0,-46.0,-76.0,Balance Sheet
Total Equity,,,,,,,1509.0,1539.0,1613.0,1621.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,4689.0,4850.0,5604.0,4998.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,35.0,35.0,35.0,35.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,2566.0,2651.0,2743.0,2534.0,Income Statement
"Cost of Revenue, Total",,,,,,,2181.0,2272.0,2305.0,2135.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,290.0,298.0,306.0,308.0,Income Statement
Restructuring Charge,,,,,,,2.0,1.0,1.0,1.0,Income Statement
Other Unusual Expnse (In),,,,,,,0.0,,2.0,0.0,Income Statement
Unusual Expense (Income),,,,,,,2.0,1.0,2.0,1.0,Income Statement
Total Operating Expense,,,,,,,2473.0,2571.0,2614.0,2444.0,Income Statement
Total Operating Income,,,,,,,93.0,80.0,130.0,90.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,-11.0,-8.0,-9.0,-12.0,Income Statement
"Other, Net",,,,,,,0.0,3.0,0.0,-2.0,Income Statement
Income Before Tax,,,,,,,83.0,75.0,120.0,77.0,Income Statement
Income Tax - Total,,,,,,,21.0,18.0,31.0,19.0,Income Statement
Income After Tax,,,,,,,62.0,57.0,89.0,57.0,Income Statement
Net Inc Before Extra Items,,,,,,,62.0,57.0,89.0,57.0,Income Statement
Total Net Income,,,,,,,62.0,57.0,89.0,57.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,62.0,57.0,89.0,57.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,62.0,57.0,89.0,57.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,35.0,35.0,35.0,35.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.78,1.62,2.54,1.64,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.78,1.62,2.54,1.64,Income Statement
Diluted Weighted Average Shares,,,,,,,37.0,37.0,37.0,36.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,1.69,1.53,2.42,1.58,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,1.69,1.53,2.42,1.58,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,,5.0,5.0,6.0,6.0,Income Statement
