,NSSC
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.11688311688311681
Growth 1yr High Est,0.012499999999999956
Growth 1yr Consensus Est,-0.05219155844155843
Growth 2yr Low Est,0.11802902979373564
Growth 2yr High Est,0.28402777777777766
Growth 2yr Consensus Est,0.20102840378575665
Growth 5yr Low Est,0.07868601986249042
Growth 5yr High Est,0.18935185185185177
Growth 5yr Consensus Est,0.1340189358571711
Growth 5yr Actual/Est,0.4132987640523305
Growth 3yr Historic,0.18924216027874557
