,NTRA
Price/Earnings (TTM),
Price/Sales (TTM),5.26555
Price/Book (MRQ),10.11151
Price/Cash Flow (TTM),
5yr Low,8.6
5yr High,129.09
5yr Avg Return,0.5405833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.24098579999999997
Dividend Growth 5yr,
Short Int Current Month,5011214.0
Short Int Prev Month,5747856.0
Short Int Pct of Float,0.0478347
Days to Cover,2.62341
Float,104.7779
Shares Outstanding,108.7295
Institutions Holding Shares,376.0
% Held by Institutions,0.8558979999999999
FCF Growth 5yr,0.19809934074639957
