,NVAX
% Above Low,0.0337
% Held by Institutions,0.4039
52-Wk Range,['16.00 - 236.50']
Annual Dividend $,
Annual Dividend %,
Ask,16.53
Ask Size,200.0
Ask close,17.6
B/A Ratio,1.5
B/A Size,300x200
Beta,1.8
Bid,16.43
Bid Size,300.0
Bid close,15.52
Change Since Close,-0.11| |(-0.67%)
Closing Price,16.54
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-17.25
Ex-dividend Date,No dividend
Historical Volatility,1.2
Last (size),10.0
Last (time),1:00p ET 11/25/22
Last Trade,16.43
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.54
Shares Outstanding,78.5M
Short Interest,0.289
Today's Open,
Volume,10685.0
Volume 10-day Avg,4276681.0
Volume Past Day,(Light)
