,NXGN
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.04081632653061229
Growth 1yr High Est,-0.010000000000000009
Growth 1yr Consensus Est,-0.02540816326530615
Growth 2yr Low Est,0.01682587928788537
Growth 2yr High Est,0.0657070707070706
Growth 2yr Consensus Est,0.041266474997477987
Growth 5yr Low Est,0.06280123751628308
Growth 5yr High Est,0.07962224283652852
Growth 5yr Consensus Est,0.0712117401764058
Growth 5yr Actual/Est,0.06840289835969168
Growth 3yr Historic,0.04518072289156627
