,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,13.76,14.53,13.79,12.05,14.33,13.57,,,,,
low,12.81,8.61,9.2,7.72,10.28,8.17,,,,,
change,-0.0061,-0.2811,0.3009,-0.1223,0.1497,-0.2334,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,,2211.0,2900.0,3277.0,1700.0,Balance Sheet
FHLB Stock,,,,,,,734.0,679.0,635.0,630.0,Balance Sheet
Other Short Trm Invest.,,,,,,,16.0,15.0,14.0,14.0,Balance Sheet
Total Invest. Securities,,,,,,,5780.0,5612.0,5664.0,6689.0,Balance Sheet
Loans Held for Sale,,,,,,,0.0,,,,Balance Sheet
"Other Erng. Assets, Total",,,,,,,6530.0,6306.0,6313.0,7333.0,Balance Sheet
Total Gross Loans,,,,,,,45738.0,46758.0,48537.0,48984.0,Balance Sheet
Loan Loss Allowances,,,,,,,-199.0,-197.0,-216.0,-218.0,Balance Sheet
Net Loans,,,,,,,45539.0,46561.0,48321.0,48766.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,519.0,509.0,484.0,477.0,Balance Sheet
"Goodwill, Net",,,,,,,2426.0,2426.0,2426.0,2426.0,Balance Sheet
Other Real Estate Owned,,,,,,,8.0,7.0,6.0,,Balance Sheet
Other Assets,,,,,,,2294.0,2296.0,2266.0,2254.0,Balance Sheet
"Other Assets, Total",,,,,,,2302.0,2303.0,2272.0,2254.0,Balance Sheet
Total Assets,,,,,,,59527.0,61005.0,63093.0,62956.0,Balance Sheet
Accrued Expenses,,,,,,,249.0,243.0,232.0,227.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,,17743.0,20793.0,23574.0,23736.0,Balance Sheet
Interest Bearing Deposits,,,,,,,17316.0,17161.0,17670.0,17969.0,Balance Sheet
Total Deposits,,,,,,,35059.0,37954.0,41244.0,41705.0,Balance Sheet
"Other Bearing Lblts, Total",,,,,,,15105.0,13880.0,12850.0,12840.0,Balance Sheet
Total ST Borrowings,,,,,,,800.0,800.0,800.0,300.0,Balance Sheet
Total Long Term Debt,,,,,,,657.0,657.0,657.0,658.0,Balance Sheet
Total Debt,,,,,,,1457.0,1457.0,1457.0,958.0,Balance Sheet
"Other Liabilities, Total",,,,,,,613.0,562.0,486.0,480.0,Balance Sheet
Total Liabilities,,,,,,,52483.0,54096.0,56269.0,56210.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,503.0,503.0,503.0,503.0,Balance Sheet
Common Stock,,,,,,,5.0,5.0,5.0,5.0,Balance Sheet
Additional Paid-In Capital,,,,,,,6126.0,6107.0,6114.0,6121.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,741.0,809.0,893.0,957.0,Balance Sheet
Treasury Stock - Common,,,,,,,-246.0,-231.0,-238.0,-238.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,-45.0,-260.0,-436.0,-612.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-31.0,-31.0,-31.0,-30.0,Balance Sheet
Other Comprehensive Income,,,,,,,-9.0,7.0,14.0,40.0,Balance Sheet
"Other Equity, Total",,,,,,,-40.0,-24.0,-17.0,10.0,Balance Sheet
Total Equity,,,,,,,7044.0,6909.0,6824.0,6746.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,59527.0,61005.0,63093.0,62956.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,465.0,467.0,466.0,466.0,Balance Sheet
