,OC
% Below High,0.1005
% Held by Institutions,1.0388
52-Wk Range,['72.97 - 101.12']
Annual Dividend $,1.4
Annual Dividend %,0.0154
Ask,93.5
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.4
Bid,82.0
Bid Size,400.0
Change Since Close,-0.21| |(-0.23%)
Closing Price,90.96
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-03 00:00:00
"EPS (TTM, GAAP)",13.59
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.419
Last (size),25.0
Last (time),5:00p ET 11/25/22
Last Trade,90.75
Market Cap,8.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.69
Prev Close,90.96
Shares Outstanding,93.5M
Short Interest,0.0479
Today's Open,
Volume,33.0
Volume 10-day Avg,872219.0
Volume Past Day,(Light)
