,OCFC
Price/Earnings (TTM),12.30813
Price/Sales (TTM),3.52413
Price/Book (MRQ),0.89865
Price/Cash Flow (TTM),10.68919
5yr Low,11.6
5yr High,30.9
5yr Avg Return,-0.0142
EPS Growth 5yr,0.1266266
Revenue Growth 5yr,0.2072053
Dividend Growth 5yr,0.04718410000000001
Short Int Current Month,1078782.0
Short Int Prev Month,1263198.0
Short Int Pct of Float,0.0187976
Days to Cover,3.90231
Float,57.44299
Shares Outstanding,59.14153
Institutions Holding Shares,249.0
% Held by Institutions,0.715664
FCF Growth 5yr,0.45972247001685
