,OGN
% Above Low,0.0975
% Held by Institutions,0.7678
52-Wk Range,['22.88 - 39.48']
Annual Dividend $,1.12
Annual Dividend %,0.0446
Ask,25.11
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,24.75
Bid Size,100.0
Change Since Close,-0.09| |(-0.36%)
Closing Price,25.11
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.96
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.322
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,25.02
Market Cap,6.4B
"P/E Ratio (TTM, GAAP)",6.33
Prev Close,25.11
Shares Outstanding,254.4M
Short Interest,0.0217
Today's Open,
Volume,145.0
Volume 10-day Avg,1666002.0
Volume Past Day,(Light)
