,OLED
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.04289544235924936
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.02144772117962468
Growth 2yr Low Est,0.020162374135922867
Growth 2yr High Est,0.05134474327628358
Growth 2yr Consensus Est,0.03575355870610322
Growth 5yr Low Est,0.020162374135922867
Growth 5yr High Est,0.05134474327628358
Growth 5yr Consensus Est,0.03575355870610322
Growth 5yr Actual/Est,0.10429187515619251
Growth 3yr Historic,0.0852617416829746
