,OLLI
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.27192982456140347
Growth 1yr High Est,-0.2622950819672131
Growth 1yr Consensus Est,-0.26711245326430827
Growth 2yr Low Est,0.04174593109279223
Growth 2yr High Est,0.19940801457194907
Growth 2yr Consensus Est,0.12057697283237065
Growth 5yr Low Est,0.10083133371807948
Growth 5yr High Est,0.18459548638565298
Growth 5yr Consensus Est,0.14271341005186622
Growth 5yr Actual/Est,0.16257439957902767
Growth 3yr Historic,0.08977008524928956
