,OLLI
Price/Earnings (TTM),40.35125
Price/Sales (TTM),2.15899
Price/Book (MRQ),2.86945
Price/Cash Flow (TTM),26.43217
5yr Low,28.83
5yr High,123.52
5yr Avg Return,0.07106666666666667
EPS Growth 5yr,0.2044293
Revenue Growth 5yr,0.1451105
Dividend Growth 5yr,
Short Int Current Month,8292083.0
Short Int Prev Month,7760590.0
Short Int Pct of Float,0.1417359
Days to Cover,8.05765
Float,58.50425
Shares Outstanding,62.58997
Institutions Holding Shares,407.0
% Held by Institutions,1.084301
FCF Growth 5yr,-2.33169955596529
