,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,53.95,79.48,92.59,125.0,187.29,182.77,,,,,
low,48.4,39.75,57.81,54.24,115.78,46.19,,,,,
change,-0.053700000000000005,0.25620000000000004,0.3561,0.4637,0.5084000000000001,-0.7115,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,349.0,265.0,245.0,266.0,Balance Sheet
Short Term Investments,,,,,,,11.0,11.0,12.0,13.0,Balance Sheet
Cash and Short Term Invs,,,,,,,360.0,276.0,257.0,279.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,229.0,278.0,296.0,331.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-5.0,-5.0,-5.0,-5.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,241.0,290.0,311.0,354.0,Balance Sheet
Other Receivables,,,,,,,11.0,4.0,15.0,7.0,Balance Sheet
"Total Receivables, Net",,,,,,,252.0,295.0,325.0,361.0,Balance Sheet
Invent. - Finished Goods,,,,,,,61.0,67.0,74.0,65.0,Balance Sheet
Invent. - Work In Progress,,,,,,,11.0,9.0,11.0,9.0,Balance Sheet
Invent. - Raw Materials,,,,,,,48.0,60.0,65.0,73.0,Balance Sheet
Total Inventory,,,,,,,120.0,137.0,150.0,147.0,Balance Sheet
Prepaid Expenses,,,,,,,29.0,29.0,23.0,27.0,Balance Sheet
Restricted Cash - Current,,,,,,,7.0,23.0,24.0,18.0,Balance Sheet
Other Current Assets,,,,,,,14.0,15.0,7.0,18.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,20.0,38.0,31.0,35.0,Balance Sheet
Total Current Assets,,,,,,,781.0,776.0,788.0,849.0,Balance Sheet
Buildings,,,,,,,21.0,21.0,22.0,20.0,Balance Sheet
Machinery/Equipment,,,,,,,150.0,159.0,160.0,163.0,Balance Sheet
