,OMF
% Above Low,0.3406
% Held by Institutions,0.8578
52-Wk Range,['28.77 - 55.50']
Annual Dividend $,3.8
Annual Dividend %,0.09849999999999999
Ask,38.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,37.76
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,38.57
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",7.58
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.445
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,38.57
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.09
Prev Close,38.57
Short Interest,0.051699999999999996
Today's Open,
Volume,5.0
Volume 10-day Avg,1166606.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.3349101229895932
Growth 1yr High Est,-0.32855863921217543
Growth 1yr Consensus Est,-0.3317343811008843
Growth 2yr Low Est,-0.30472390928996024
Growth 2yr High Est,-0.1389459862727544
Growth 2yr Consensus Est,-0.22183494778135732
Growth 5yr Low Est,0.008602275526093023
Growth 5yr High Est,0.09856592901931147
Growth 5yr Consensus Est,0.053584102272702244
Growth 5yr Actual/Est,0.07992403834461176
Growth 3yr Historic,0.17062899603828355
Price/Earnings (TTM),5.08629
Price/Sales (TTM),0.92735
Price/Book (MRQ),1.57019
Price/Cash Flow (TTM),3.87641
5yr Low,12.21
5yr High,63.19
5yr Avg Return,0.10765000000000001
EPS Growth 5yr,0.4407202
Revenue Growth 5yr,0.0498102
Dividend Growth 5yr,
Short Int Current Month,6048742.0
Short Int Prev Month,6365492.0
Short Int Pct of Float,0.051722599999999994
Days to Cover,4.31484
Float,116.9491
Shares Outstanding,122.2119
Institutions Holding Shares,414.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",5.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8239000000000001
Operating Profit Margin (TTM),0.252
Net Profit Margin (TTM),0.18910000000000002
Annual Dividend Yield,0.0985
Dividend Change %,3.2014
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.09230000000000001
EPS Growth (TTM),-0.2775
Revenue Growth (MRQ),0.019
Revenue Growth (TTM),0.0329
Return On Equity (TTM),0.3134
Return On Assets (TTM),0.0434
Return On Investment (TTM),0.0434
Revenue Per Employee (TTM),577614.0
Total Debt/Total Capital (MRQ),0.858
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
