,ONTF
% Above Low,0.0676
% Held by Institutions,0.7027
52-Wk Range,['6.95 - 17.99']
Annual Dividend $,
Annual Dividend %,
Ask,7.46
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,7.12
Bid Size,400.0
Closing Price,7.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.17
Ex-dividend Date,No dividend
Historical Volatility,0.509
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,356.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.42
Shares Outstanding,48.0M
Short Interest,0.0199
Today's Open,
Volume,456524.0
Volume 10-day Avg,488493.0
Volume Past Day,(Average)
