,ORCL
% Above Low,0.34880000000000005
% Held by Institutions,0.4142
52-Wk Range,['60.78 - 106.34']
Annual Dividend $,1.28
Annual Dividend %,0.0155
Ask,82.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,81.98
Bid Size,100.0
Day Change $,-0.7399
Day Change %,-0.0089
Day High,82.11
Day Low,81.79
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",2.1
Ex-dividend,2022-10-11 00:00:00
Ex-dividend Date,10/11/22
Historical Volatility,0.344
Last (size),110.0
Last (time),9:36a ET 11/28/22
Market Cap,221.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.3
Prev Close,82.72
Price,81.98
Shares Outstanding,2.7B
Short Interest,0.011000000000000001
Today's Open,82.11
Volume Past Day,(Average)
