,ORGO
Price/Earnings (TTM),6.09796
Price/Sales (TTM),0.78278
Price/Book (MRQ),1.41984
Price/Cash Flow (TTM),5.07395
5yr Low,2.23
5yr High,310.9
5yr Avg Return,-0.08801666666666667
Short Int Current Month,5927106.0
Short Int Prev Month,5973096.0
Short Int Pct of Float,0.0923164
Days to Cover,8.37475
Float,64.69607
Shares Outstanding,130.9151
Institutions Holding Shares,209.0
% Held by Institutions,0.40625999999999995
FCF Growth 5yr,0.6913486942193682
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
