,ORLY
% Below High,0.0059
% Held by Institutions,0.8314
52-Wk Range,['562.90 - 858.38']
Annual Dividend $,
Annual Dividend %,
Ask,854.06
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,852.55
Bid Size,200.0
Day Change $,-2.67
Day Change %,-0.0031
Day High,854.52
Day Low,851.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",32.76
Ex-dividend Date,No dividend
Historical Volatility,0.3
Last (size),100.0
Last (time),9:39a ET 11/28/22
Market Cap,53.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.13
Prev Close,855.97
Price,853.31
Shares Outstanding,62.6M
Short Interest,0.0158
Today's Open,851.24
Volume Past Day,(Heavy Day)
