,OTTR
Price/Earnings (TTM),8.28373
Price/Sales (TTM),1.61972
Price/Book (MRQ),2.04107
Price/Cash Flow (TTM),6.24666
5yr Low,30.95
5yr High,82.46
5yr Avg Return,0.06635
EPS Growth 5yr,0.2141996
Revenue Growth 5yr,0.0829443
Dividend Growth 5yr,0.0453047
Short Int Current Month,1187880.0
Short Int Prev Month,1299110.0
Short Int Pct of Float,0.0291054
Days to Cover,4.08905
Float,40.82916
Shares Outstanding,41.63095
Institutions Holding Shares,325.0
% Held by Institutions,0.571662
FCF Growth 5yr,1.7093761009207993
