,PACB
% Above Low,1.5804
% Held by Institutions,0.8709
52-Wk Range,['3.85 - 23.87']
Annual Dividend $,
Annual Dividend %,
Ask,9.94
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.5
Bid,9.93
Bid Size,300.0
Day Change $,-0.1755
Day Change %,-0.0174
Day High,10.21
Day Low,9.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.34
Ex-dividend Date,No dividend
Historical Volatility,1.056
Last (size),1.0
Last (time),9:57a ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.11
Price,9.93
Shares Outstanding,226.1M
Short Interest,0.1174
Today's Open,9.9
Volume Past Day,(Light)
