,PAG
% Below High,0.050300000000000004
% Held by Institutions,0.7979999999999999
52-Wk Range,['88.58 - 131.55']
Annual Dividend $,2.28
Annual Dividend %,0.0182
Ask,124.93
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,124.54
Bid Size,100.0
Day Change $,-0.56
Day Change %,-0.0045000000000000005
Day High,125.23
Day Low,124.5
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",18.28
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.414
Last (size),41.0
Last (time),10:00a ET 11/28/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.87
Prev Close,125.49
Price,124.93
Shares Outstanding,71.3M
Short Interest,0.08810000000000001
Today's Open,124.66
Volume Past Day,(Light)
