,PDCO
% Above Low,0.2158
% Held by Institutions,0.8156
52-Wk Range,['23.87 - 35.29']
Annual Dividend $,1.04
Annual Dividend %,0.0355
Ask,29.05
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,28.99
Bid Size,200.0
Day Change $,-0.27
Day Change %,-0.0092
Day High,29.19
Day Low,28.72
Dividend Pay Date,2022-11-04 00:00:00
"EPS (TTM, GAAP)",1.97
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.32299999999999995
Last (size),100.0
Last (time),10:24a ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.88
Prev Close,29.29
Price,29.02
Shares Outstanding,96.9M
Short Interest,0.0483
Today's Open,29.08
Volume Past Day,(Light)
