,PETQ
Price/Earnings (TTM),
Price/Sales (TTM),0.36107
Price/Book (MRQ),1.57884
Price/Cash Flow (TTM),
5yr Low,6.66
5yr High,46.0
5yr Avg Return,-0.037349999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.3603669
Dividend Growth 5yr,
Short Int Current Month,2823497.0
Short Int Prev Month,2673115.0
Short Int Pct of Float,0.09865180000000001
Days to Cover,4.45314
Float,28.73529
Shares Outstanding,29.22601
Institutions Holding Shares,204.0
% Held by Institutions,0.961759
FCF Growth 5yr,1.7960407993573455
