,PETQ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),0.36,1.32,Valuation,0.2727272727272727
Price/Book (MRQ),1.58,4.31,Valuation,0.36658932714617176
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.22190000000000001,0.1318,Profitability,1.6836115326251897
Operating Profit Margin (TTM),-0.0281,0.0458,Profitability,-0.6135371179039302
Net Profit Margin (TTM),-0.0602,0.0242,Profitability,-2.487603305785124
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-11.646199999999999,-0.1478,Gowth rates,78.79702300405954
EPS Growth (TTM),-3.6736000000000004,-1.101,Gowth rates,3.336603088101726
Revenue Growth (MRQ),-0.1678,0.0931,Gowth rates,-1.8023630504833512
Revenue Growth (TTM),0.037700000000000004,0.1191,Gowth rates,0.31654072208228384
Return On Equity (TTM),-0.2341,7.2022,Effectiveness,-0.03250395712421204
Return On Assets (TTM),-0.0695,0.0403,Effectiveness,-1.7245657568238213
Return On Investment (TTM),-0.08070000000000001,0.016,Effectiveness,-5.04375
Revenue Per Employee (TTM),484225.0,1375304.0,Effectiveness,0.35208579339549656
Total Debt/Total Capital (MRQ),0.6786,0.4855,Financial strength,1.3977342945417095
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0015,Financial strength,0.39999999999999997
Quick Ratio (MRQ),1.63,0.31,Financial strength,5.258064516129032
Interest Coverage (MRQ),0.83,9.55,Financial strength,0.0869109947643979
