,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,37.35,46.47,44.56,43.08,61.71,58.55,,,,,
low,35.15,33.2,33.97,27.88,33.36,41.45,,,,,
change,0.0078000000000000005,0.1998,-0.09140000000000001,-0.0634,0.6016,-0.15480000000000002,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,1944.0,2470.0,1780.0,1298.0,Balance Sheet
Short Term Investments,,,,,,,29125.0,21427.0,31524.0,34825.0,Balance Sheet
Cash and Short Term Invs,,,,,,,31069.0,23897.0,33304.0,36123.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,11971.0,13717.0,15616.0,16550.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-492.0,-492.0,-461.0,-474.0,Balance Sheet
"Total Receivables, Net",,,,,,,11479.0,13225.0,15155.0,16076.0,Balance Sheet
Invent. - Finished Goods,,,,,,,3641.0,3633.0,3219.0,3159.0,Balance Sheet
Invent. - Work In Progress,,,,,,,4424.0,4843.0,5194.0,4540.0,Balance Sheet
Invent. - Raw Materials,,,,,,,994.0,1503.0,2041.0,1813.0,Balance Sheet
Inventories - Other,,,,,,,,,,1.0,Balance Sheet
Total Inventory,,,,,,,9059.0,9979.0,10454.0,9513.0,Balance Sheet
Deferred Income Tax,,,,,,,349.0,655.0,558.0,616.0,Balance Sheet
Other Current Assets,,,,,,,3820.0,4202.0,5970.0,6147.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,8086.0,7319.0,8553.0,8691.0,Balance Sheet
Total Current Assets,,,,,,,59693.0,54420.0,67466.0,70403.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,29955.0,30467.0,30213.0,30372.0,Balance Sheet
Accumulated Depreciation,,,,,,,-15074.0,-15358.0,-14969.0,-14931.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,14882.0,15109.0,15244.0,15441.0,Balance Sheet
"Goodwill, Net",,,,,,,49208.0,50211.0,49891.0,49441.0,Balance Sheet
Intangibles - Gross,,,,,,,80984.0,86358.0,86144.0,85664.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-55838.0,-56542.0,-57079.0,-57514.0,Balance Sheet
Intangibles - Net,,,,,,,25146.0,29816.0,29065.0,28151.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,,16472.0,15995.0,14799.0,9826.0,Balance Sheet
LT Investments - Other,,,,,,,5054.0,4742.0,4163.0,4062.0,Balance Sheet
Long Term Investments,,,,,,,21526.0,20737.0,18962.0,13888.0,Balance Sheet
Other Long Term Assets,,,,,,,7680.0,7880.0,7660.0,10890.0,Balance Sheet
Total Assets,,,,,,,181476.0,183841.0,195290.0,195350.0,Balance Sheet
Accounts Payable,,,,,,,5578.0,5506.0,6208.0,6267.0,Balance Sheet
Accrued Expenses,,,,,,,3332.0,2249.0,1997.0,2852.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,605.0,385.0,4714.0,1474.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,1636.0,260.0,1276.0,2566.0,Balance Sheet
Dividends Payable,,,,,,,2249.0,0.0,2245.0,2245.0,Balance Sheet
