,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,14.1,20.16,9.1,10.87,11.1,3.99,,,,,
low,11.11,6.21,3.95,1.26,3.42,1.12,,,,,
change,-0.1125,-0.44439999999999996,-0.1384,0.8214,-0.6348,-0.49460000000000004,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,42920.0,40321.0,43844.0,9067.0,Balance Sheet
Short Term Investments,,,,,,,72240.0,71821.0,71453.0,62260.0,Balance Sheet
Cash and Short Term Invs,,,,,,,115160.0,112142.0,115297.0,71327.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,26702.0,30463.0,3018.0,1378.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-5797.0,-6140.0,-1693.0,-184.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,20905.0,24323.0,1325.0,1194.0,Balance Sheet
Notes Recvble - Short Term,,,,,,,0.0,,,,Balance Sheet
Other Receivables,,,,,,,566.0,543.0,546.0,1260.0,Balance Sheet
"Total Receivables, Net",,,,,,,21471.0,24866.0,1871.0,2454.0,Balance Sheet
Invent. - Work In Progress,,,,,,,2564.0,2539.0,,,Balance Sheet
Invent. - Raw Materials,,,,,,,2588.0,2931.0,30.0,19.0,Balance Sheet
Inventories - Other,,,,,,,8109.0,7260.0,194.0,200.0,Balance Sheet
Total Inventory,,,,,,,13261.0,12730.0,224.0,219.0,Balance Sheet
Prepaid Expenses,,,,,,,6736.0,5199.0,2654.0,6363.0,Balance Sheet
Restricted Cash - Current,,,,,,,,,,82443.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,0.0,,44573.0,0.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,0.0,,44573.0,82443.0,Balance Sheet
Total Current Assets,,,,,,,156628.0,154937.0,164619.0,162806.0,Balance Sheet
Buildings,,,,,,,17718.0,17725.0,6087.0,6087.0,Balance Sheet
Land/Improvements,,,,,,,11118.0,11118.0,164.0,164.0,Balance Sheet
Machinery/Equipment,,,,,,,38715.0,39473.0,22107.0,22212.0,Balance Sheet
Construction in Progress,,,,,,,3824.0,3596.0,1059.0,1240.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,13062.0,13109.0,9442.0,9394.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,84437.0,85021.0,38859.0,39097.0,Balance Sheet
Accumulated Depreciation,,,,,,,-39222.0,-40475.0,-22189.0,-22658.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,45215.0,44546.0,16670.0,16439.0,Balance Sheet
"Goodwill, Net",,,,,,,54148.0,53613.0,36864.0,36713.0,Balance Sheet
Intangibles - Gross,,,,,,,108123.0,106750.0,80809.0,76929.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-54008.0,-55323.0,-34876.0,-34513.0,Balance Sheet
Intangibles - Net,,,,,,,54115.0,51427.0,45933.0,42416.0,Balance Sheet
Long Term Investments,,,,,,,48562.0,29914.0,11877.0,0.0,Balance Sheet
Other Long Term Assets,,,,,,,1188.0,1131.0,921.0,871.0,Balance Sheet
Total Assets,,,,,,,359856.0,335568.0,321224.0,259245.0,Balance Sheet
Accounts Payable,,,,,,,5405.0,4415.0,2668.0,4201.0,Balance Sheet
Accrued Expenses,,,,,,,24369.0,18136.0,15563.0,18518.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,402.0,355.0,0.0,82069.0,Balance Sheet
Customer Advances,,,,,,,4442.0,2669.0,164.0,76.0,Balance Sheet
Other Payables,,,,,,,27.0,26.0,58.0,0.0,Balance Sheet
Discontinued Operations,,,,,,,0.0,,11448.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,4469.0,2695.0,11670.0,76.0,Balance Sheet
Total Current Liabilities,,,,,,,34645.0,25601.0,29901.0,104864.0,Balance Sheet
Total Long Term Debt,,,,,,,182749.0,201112.0,198674.0,0.0,Balance Sheet
Total Debt,,,,,,,183151.0,201467.0,198674.0,82069.0,Balance Sheet
Deferred Income Tax,,,,,,,2539.0,2438.0,2260.0,2092.0,Balance Sheet
Other LT Liabilities,,,,,,,32575.0,32581.0,31121.0,9757.0,Balance Sheet
Discont. Ops. - Lblts,,,,,,,,,3615.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,32575.0,32581.0,34736.0,9757.0,Balance Sheet
Total Liabilities,,,,,,,252508.0,261732.0,265571.0,116713.0,Balance Sheet
