,PGTI
Price/Earnings (TTM),11.87577
Price/Sales (TTM),0.83228
Price/Book (MRQ),1.97398
Price/Cash Flow (TTM),7.26488
5yr Low,6.88
5yr High,28.11
5yr Avg Return,0.045799999999999993
EPS Growth 5yr,-0.010133000000000001
Revenue Growth 5yr,0.2042698
Dividend Growth 5yr,
Short Int Current Month,1570065.0
Short Int Prev Month,1657660.0
Short Int Pct of Float,0.0274572
Days to Cover,3.0017
Float,57.19732
Shares Outstanding,59.99768
Institutions Holding Shares,241.0
% Held by Institutions,0.905548
FCF Growth 5yr,2.194122613130138
