,PH
% Below High,0.1151
% Held by Institutions,0.8277
52-Wk Range,['230.44 - 340.00']
Annual Dividend $,5.32
Annual Dividend %,0.0174
Ask,301.07
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,300.82
Bid Size,200.0
Day Change $,-5.15
Day Change %,-0.0168
Day High,304.27
Day Low,300.09
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",9.61
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.318
Last (size),80.0
Last (time),10:44a ET 11/28/22
Market Cap,38.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.83
Prev Close,306.03
Price,300.88
Shares Outstanding,128.4M
Short Interest,0.0113
Today's Open,303.0
Volume Past Day,(Average)
