,PJT
% Below High,0.051699999999999996
% Held by Institutions,0.6905
52-Wk Range,['54.48 - 80.33']
Annual Dividend $,1.0
Annual Dividend %,0.0128
Ask,76.32
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,75.95
Bid Size,200.0
Day Change $,-1.9
Day Change %,-0.024300000000000002
Day High,77.01
Day Low,77.27
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",3.83
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.318
Last (size),2.0
Last (time),10:53a ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.39
Prev Close,78.08
Price,76.18
Shares Outstanding,24.4M
Short Interest,0.0387
Today's Open,78.06
Volume Past Day,(Heavy Day)
