,PM
% Below High,0.13
% Held by Institutions,0.741
52-Wk Range,['82.85 - 112.48']
Annual Dividend $,5.08
Annual Dividend %,0.051699999999999996
Ask,97.89
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.7
Bid,97.87
Bid Size,100.0
Day Change $,-0.39
Day Change %,-0.004
Day High,98.11
Day Low,96.86
Dividend Pay Date,2022-10-12 00:00:00
"EPS (TTM, GAAP)",5.61
Ex-dividend,2022-09-27 00:00:00
Ex-dividend Date,09/27/22
Historical Volatility,0.251
Last (size),100.0
Last (time),11:07a ET 11/28/22
Market Cap,151.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.5
Prev Close,98.25
Price,97.86
Short Interest,0.0068000000000000005
Today's Open,97.32
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.12520868113522532
Growth 1yr High Est,-0.03583061889250816
Growth 1yr Consensus Est,-0.08051965001386674
Growth 2yr Low Est,-0.06832953140730735
Growth 2yr High Est,0.009111717580773004
Growth 2yr Consensus Est,-0.029608906913267174
Growth 5yr Low Est,0.006839660698804956
Growth 5yr High Est,0.04418387694065068
Growth 5yr Consensus Est,0.025511768819727818
Growth 5yr Actual/Est,0.024088484048863656
Growth 3yr Historic,0.04304047733515204
Price/Earnings (TTM),17.50017
Price/Sales (TTM),4.80253
Price/Book (MRQ),
Price/Cash Flow (TTM),14.6379
5yr Low,56.01
5yr High,112.48
5yr Avg Return,0.015550000000000007
EPS Growth 5yr,0.0539671
Revenue Growth 5yr,0.0331094
Dividend Growth 5yr,0.0341691
Short Int Current Month,10516967.0
Short Int Prev Month,10213572.0
Short Int Pct of Float,0.006795799999999999
Days to Cover,2.50043
Float,1548.191
Shares Outstanding,1550.202
Institutions Holding Shares,2328.0
FCF Growth 5yr,1.1464759664379047
"Price/Earnings (TTM, GAAP)",17.5
"PEG Ratio (TTM, GAAP)",6.19
Gross Profit Margin (TTM),0.6547
Operating Profit Margin (TTM),0.38689999999999997
Net Profit Margin (TTM),0.29100000000000004
Annual Dividend Yield,0.0517
Dividend Change %,0.029700000000000004
"Dividend Growth Rate, 3 Years",0.031400000000000004
EPS Growth (MRQ),-0.0647
EPS Growth (TTM),-0.023100000000000002
Revenue Growth (MRQ),0.0255
Revenue Growth (TTM),0.0315
Return On Equity (TTM),
Return On Assets (TTM),0.2242
Return On Investment (TTM),0.46140000000000003
Revenue Per Employee (TTM),455661.0
Total Debt/Total Capital (MRQ),1.3736000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),21.55
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2021-07-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-04-20 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
