,PPL
% Below High,0.0663
% Held by Institutions,0.7059000000000001
52-Wk Range,['23.47 - 30.99']
Annual Dividend $,0.9
Annual Dividend %,0.0308
Ask,28.94
Ask Size,1300.0
B/A Ratio,1.1538461538461537
B/A Size,1500x1300
Beta,0.8
Bid,28.93
Bid Size,1500.0
Day Change $,-0.295
Day Change %,-0.0101
Day High,29.13
Day Low,28.82
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",0.96
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.23600000000000002
Last (size),100.0
Last (time),11:24a ET 11/28/22
Market Cap,21.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.48
Prev Close,29.23
Price,28.94
Short Interest,0.0124
Today's Open,29.04
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.4194915254237287
Growth 1yr High Est,-0.41224489795918373
Growth 1yr Consensus Est,-0.4158682116914562
Growth 2yr Low Est,-0.14040269701843372
Growth 2yr High Est,-0.10890022675736966
Growth 2yr Consensus Est,-0.12465146188790169
Growth 5yr Low Est,-0.0723021888453513
Growth 5yr High Est,-0.057474306927071894
Growth 5yr Consensus Est,-0.0648882478862116
Growth 5yr Actual/Est,-0.024893707482993216
Growth 3yr Historic,-0.14572704081632656
Price/Earnings (TTM),30.48094
Price/Sales (TTM),3.03263
Price/Book (MRQ),1.55049
Price/Cash Flow (TTM),11.38159
5yr Low,18.12
5yr High,36.99
5yr Avg Return,-0.02726666666666667
EPS Growth 5yr,-0.6149327
Revenue Growth 5yr,-0.0510972
Dividend Growth 5yr,0.0181128
Short Int Current Month,9135462.0
Short Int Prev Month,10175691.0
Short Int Pct of Float,0.0124213
Days to Cover,2.24702
Float,735.4971
Shares Outstanding,736.3183
Institutions Holding Shares,1005.0
FCF Growth 5yr,-1.0458596289921591
"Price/Earnings (TTM, GAAP)",30.48
"PEG Ratio (TTM, GAAP)",1.74
Annual Dividend Yield,0.0308
Dividend Change %,0.0015
"Dividend Growth Rate, 3 Years",0.0070999999999999995
EPS Growth (MRQ),0.46159999999999995
EPS Growth (TTM),16.6053
Revenue Growth (MRQ),0.2583
Revenue Growth (TTM),0.2519
Return On Equity (TTM),0.049800000000000004
Return On Assets (TTM),0.0198
Return On Investment (TTM),0.0215
Revenue Per Employee (TTM),1265739.0
Total Debt/Total Capital (MRQ),0.4976
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),3.08
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-15 00:00:00
theStreet since,2022-10-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
