,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,36.0,43.75,38.07,47.35,50.67,51.0,,,,,
low,32.85,22.62,23.97,19.4,32.78,29.69,,,,,
change,-0.0418,-0.2747,0.5106,0.0836,0.2584,-0.32659999999999995,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,88.0,79.0,68.0,58.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,3428.0,3311.0,3184.0,3037.0,Balance Sheet
Other Receivables,,,,,,,41.0,49.0,42.0,36.0,Balance Sheet
"Total Receivables, Net",,,,,,,3469.0,3360.0,3226.0,3074.0,Balance Sheet
Total Current Assets,,,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,111.0,109.0,110.0,105.0,Balance Sheet
"Goodwill, Net",,,,,,,480.0,483.0,437.0,404.0,Balance Sheet
Long Term Investments,,,,,,,93.0,93.0,86.0,76.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,68.0,64.0,64.0,54.0,Balance Sheet
Other Assets,,,,,,,57.0,69.0,98.0,124.0,Balance Sheet
"Other Assets, Total",,,,,,,57.0,69.0,98.0,124.0,Balance Sheet
Total Assets,,,,,,,4366.0,4258.0,4089.0,3895.0,Balance Sheet
Accounts Payable,,,,,,,4.0,6.0,5.0,6.0,Balance Sheet
Accrued Expenses,,,,,,,189.0,150.0,158.0,161.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,19.0,14.0,16.0,16.0,Balance Sheet
Total Current Liabilities,,,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,,,2733.0,2656.0,2596.0,2468.0,Balance Sheet
Total Debt,,,,,,,2733.0,2656.0,2596.0,2468.0,Balance Sheet
Deferred Income Tax,,,,,,,37.0,45.0,44.0,49.0,Balance Sheet
Minority Interest,,,,,,,38.0,41.0,36.0,51.0,Balance Sheet
"Other Liabilities, Total",,,,,,,59.0,40.0,28.0,12.0,Balance Sheet
Total Liabilities,,,,,,,3080.0,2952.0,2882.0,2764.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1553.0,1549.0,1554.0,1557.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,0.0,0.0,-1.0,0.0,Balance Sheet
