,PRGS
% Below High,0.0139
% Held by Institutions,1.0312000000000001
52-Wk Range,['40.33 - 53.45']
Annual Dividend $,0.7
Annual Dividend %,0.0132
Ask,52.72
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,52.61
Bid Size,200.0
Day Change $,-0.45
Day Change %,-0.0085
Day High,53.0
Day Low,52.65
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.94
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.308
Last (size),1.0
Last (time),11:28a ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.34
Prev Close,53.15
Price,52.7
Shares Outstanding,43.0M
Short Interest,0.061799999999999994
Today's Open,52.73
Volume Past Day,(Light)
