,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,28.96,28.9,23.98,29.02,41.76,27.94,,,,,
low,26.92,17.99,17.8,9.42,21.47,15.9,,,,,
change,-0.0095,-0.2972,0.17920000000000003,0.23260000000000003,-0.1383,-0.12460000000000002,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,201.0,174.0,91.0,112.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,350.0,,,,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-3.0,,,,Balance Sheet
"Total Receivables, Net",,,,,,,895.0,920.0,1082.0,1334.0,Balance Sheet
Prepaid Expenses,,,,,,,86.0,120.0,145.0,217.0,Balance Sheet
Total Current Assets,,,,,,,1182.0,1214.0,1318.0,1662.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,592.0,604.0,602.0,671.0,Balance Sheet
"Goodwill, Net",,,,,,,582.0,584.0,592.0,820.0,Balance Sheet
Intangibles - Gross,,,,,,,238.0,238.0,249.0,350.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-66.0,-70.0,-73.0,-80.0,Balance Sheet
Intangibles - Net,,,,,,,171.0,168.0,176.0,270.0,Balance Sheet
Other Long Term Assets,,,,,,,15.0,27.0,25.0,23.0,Balance Sheet
Total Assets,,,,,,,2543.0,2597.0,2714.0,3454.0,Balance Sheet
Accounts Payable,,,,,,,273.0,290.0,345.0,477.0,Balance Sheet
Accrued Expenses,,,,,,,167.0,186.0,207.0,235.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,67.0,66.0,63.0,80.0,Balance Sheet
Dividends Payable,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Customer Advances,,,,,,,240.0,292.0,250.0,256.0,Balance Sheet
Income Taxes Payable,,,,,,,8.0,7.0,20.0,35.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,252.0,302.0,274.0,293.0,Balance Sheet
Total Current Liabilities,,,,,,,759.0,844.0,889.0,1086.0,Balance Sheet
Total Long Term Debt,,,,,,,594.0,599.0,638.0,1122.0,Balance Sheet
Total Debt,,,,,,,661.0,665.0,701.0,1202.0,Balance Sheet
Deferred Income Tax,,,,,,,39.0,39.0,39.0,42.0,Balance Sheet
Minority Interest,,,,,,,0.0,,,,Balance Sheet
"Other Liabilities, Total",,,,,,,161.0,128.0,115.0,136.0,Balance Sheet
Total Liabilities,,,,,,,1553.0,1610.0,1681.0,2386.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,262.0,263.0,262.0,262.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,727.0,723.0,770.0,809.0,Balance Sheet
"Other Equity, Total",,,,,,,1.0,2.0,1.0,-3.0,Balance Sheet
Total Equity,,,,,,,990.0,988.0,1033.0,1068.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,2543.0,2597.0,2714.0,3454.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,53.0,53.0,53.0,53.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,884.0,784.0,1023.0,1284.0,Income Statement
"Cost of Revenue, Total",,,,,,,788.0,728.0,931.0,1129.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,57.0,55.0,60.0,76.0,Income Statement
Unusual Expense (Income),,,,,,,2.0,0.0,-35.0,13.0,Income Statement
Total Operating Expense,,,,,,,847.0,784.0,956.0,1218.0,Income Statement
Total Operating Income,,,,,,,37.0,1.0,67.0,66.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-4.0,-3.0,-5.0,-13.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,0.0,0.0,1.0,-1.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,0.0,0.0,0.0,0.0,Income Statement
"Other, Net",,,,,,,0.0,0.0,0.0,0.0,Income Statement
Income Before Tax,,,,,,,33.0,-2.0,63.0,53.0,Income Statement
Income Tax - Total,,,,,,,3.0,-1.0,13.0,10.0,Income Statement
Income After Tax,,,,,,,30.0,-2.0,50.0,43.0,Income Statement
Minority Interest,,,,,,,0.0,,,,Income Statement
Net Inc Before Extra Items,,,,,,,29.0,-2.0,50.0,43.0,Income Statement
Total Net Income,,,,,,,29.0,-2.0,50.0,43.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,29.0,-2.0,50.0,43.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,29.0,-2.0,50.0,43.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,54.0,53.0,54.0,53.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.55,-0.03,0.93,0.81,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.55,-0.03,0.93,0.81,Income Statement
Diluted Weighted Average Shares,,,,,,,54.0,53.0,54.0,54.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.54,-0.03,0.93,0.8,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.54,-0.03,0.93,0.8,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.06,0.06,0.06,0.06,Income Statement
Gross Divid - Common Stock,,,,,,,3.0,3.0,3.0,3.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,4.0,3.0,5.0,13.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,22.0,17.0,17.0,22.0,Income Statement
Total Special Items,,,,,,,2.0,0.0,-35.0,13.0,Income Statement
Normalzd Income Before Tax,,,,,,,35.0,-2.0,28.0,66.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,0.0,0.0,-7.0,2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,4.0,-1.0,6.0,12.0,Income Statement
Normalized Income After Tax,,,,,,,31.0,-1.0,23.0,53.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,31.0,-1.0,23.0,53.0,Income Statement
Basic Normalized EPS,,,,,,,0.57,-0.03,0.42,1.0,Income Statement
Diluted Normalized EPS,,,,,,,0.57,-0.03,0.42,0.99,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,116.0,-2.0,48.0,92.0,Cash Flow
Depreciation/Depletion,,,,,,,106.0,20.0,41.0,69.0,Cash Flow
Deferred Taxes,,,,,,,26.0,,,,Cash Flow
Unusual Items,,,,,,,-21.0,-7.0,-55.0,-64.0,Cash Flow
Other Non-Cash Items,,,,,,,12.0,2.0,5.0,8.0,Cash Flow
Non-Cash Items,,,,,,,-9.0,-6.0,-50.0,-56.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,39.0,0.0,-2.0,-3.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,22.0,5.0,12.0,20.0,Cash Flow
Accounts Receivable,,,,,,,-56.0,-20.0,-169.0,-271.0,Cash Flow
Other Assets,,,,,,,-56.0,-45.0,-67.0,-97.0,Cash Flow
Accounts Payable,,,,,,,16.0,12.0,63.0,134.0,Cash Flow
Accrued Expenses,,,,,,,-25.0,-5.0,35.0,40.0,Cash Flow
Changes in Working Capital,,,,,,,-158.0,-6.0,-130.0,-207.0,Cash Flow
Total Cash from Operations,,,,,,,80.0,7.0,-91.0,-102.0,Cash Flow
Capital Expenditures,,,,,,,-134.0,-33.0,-66.0,-76.0,Cash Flow
Acquisition of Business,,,,,,,-607.0,-4.0,-40.0,-478.0,Cash Flow
Sale of Fixed Assets,,,,,,,50.0,4.0,61.0,69.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-557.0,0.0,21.0,-409.0,Cash Flow
Total Cash from Investing,,,,,,,-691.0,-33.0,-44.0,-485.0,Cash Flow
Financing Cash Flow Items,,,,,,,-14.0,-2.0,-3.0,-12.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-13.0,-3.0,-6.0,-10.0,Cash Flow
Sale/Issuance of Common,,,,,,,179.0,0.0,0.0,1.0,Cash Flow
Repurch/Retirement Common,,,,,,,-15.0,,-3.0,-6.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,164.0,0.0,-3.0,-5.0,Cash Flow
Long Term Debt Issued,,,,,,,462.0,30.0,42.0,489.0,Cash Flow
Long Term Debt Reduction,,,,,,,-114.0,-26.0,-68.0,-98.0,Cash Flow
"Long Term Debt, Net",,,,,,,348.0,4.0,-26.0,392.0,Cash Flow
Total Debt Issued,,,,,,,100.0,0.0,65.0,150.0,Cash Flow
Total Debt Reduction,,,,,,,-100.0,0.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,348.0,4.0,39.0,542.0,Cash Flow
Total Cash From Financing,,,,,,,486.0,-1.0,26.0,515.0,Cash Flow
Foreign Exchange Effects,,,,,,,0.0,1.0,0.0,-1.0,Cash Flow
Net Change in Cash,,,,,,,-125.0,-27.0,-109.0,-73.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,331.0,206.0,206.0,206.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,206.0,179.0,96.0,133.0,Cash Flow
"Depreciation, Supplemental",,,,,,,106.0,20.0,41.0,69.0,Cash Flow
Free Cash Flow,,,,,,,-54.0,-26.0,-157.0,-178.0,
FCF Growth,,,,,,,,-0.5185185185185186,5.038461538461538,0.13375796178343946,
