,PRIM
% Above Low,0.32799999999999996
% Held by Institutions,0.9081999999999999
52-Wk Range,['15.90 - 27.94']
Annual Dividend $,0.24
Annual Dividend %,0.0111
Ask,21.14
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,21.05
Bid Size,100.0
Day Change $,-0.465
Day Change %,-0.0215
Day High,21.4
Day Low,21.09
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",2.25
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.409
Last (size),100.0
Last (time),11:32a ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.61
Prev Close,21.58
Price,21.12
Shares Outstanding,53.1M
Short Interest,0.0138
Today's Open,21.31
Volume Past Day,(Light)
