,PRTA
% Below High,0.09140000000000001
% Held by Institutions,0.9153
52-Wk Range,['21.06 - 65.35']
Annual Dividend $,
Annual Dividend %,
Ask,59.51
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,59.25
Bid Size,100.0
Day Change $,-1.83
Day Change %,-0.029900000000000003
Day High,62.0
Day Low,58.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.34
Ex-dividend Date,No dividend
Historical Volatility,0.9309999999999999
Last (size),100.0
Last (time),11:34a ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,61.21
Price,59.38
Shares Outstanding,48.4M
Short Interest,0.0489
Today's Open,60.11
Volume Past Day,(Light)
