,PSN
% Below High,0.024700000000000003
% Held by Institutions,0.9778
52-Wk Range,['29.25 - 50.15']
Annual Dividend $,
Annual Dividend %,
Ask,48.91
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,48.82
Bid Size,200.0
Day Change $,-0.04
Day Change %,-0.0008
Day High,48.99
Day Low,48.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.86
Ex-dividend Date,No dividend
Historical Volatility,0.31
Last (size),99.0
Last (time),11:36a ET 11/28/22
Market Cap,5.1B
"P/E Ratio (TTM, GAAP)",56.79
Prev Close,48.95
Price,48.91
Shares Outstanding,103.5M
Short Interest,0.034300000000000004
Today's Open,48.63
Volume Past Day,(Light)
