,PTCT
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.030555555555555447
Growth 1yr High Est,-0.10000000000000009
Growth 1yr Consensus Est,-0.03472222222222232
Growth 2yr Low Est,-0.02447963462114411
Growth 2yr High Est,-0.35019493177387917
Growth 2yr Consensus Est,-0.18733728319751164
Growth 5yr Low Est,-0.01631975641409607
Growth 5yr High Est,-0.23346328784925277
Growth 5yr Consensus Est,-0.12489152213167443
Growth 5yr Actual/Est,0.06168040012918127
Growth 3yr Historic,0.16850275810501963
