,PTGX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),10.62,45.03,Valuation,0.2358427714856762
Price/Book (MRQ),1.53,12.61,Valuation,0.12133227597145124
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-3.7466000000000004,-4.7459,Profitability,0.7894393055058051
Net Profit Margin (TTM),-3.6964,-4.5467,Profitability,0.81298524204368
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.2398,-0.0014000000000000002,Gowth rates,-171.28571428571428
EPS Growth (TTM),-0.1066,0.027200000000000002,Gowth rates,-3.9191176470588234
Revenue Growth (MRQ),-1.0,1.3963999999999999,Gowth rates,-0.7161271841879119
Revenue Growth (TTM),0.44310000000000005,0.9747,Gowth rates,0.45460141582025243
Return On Equity (TTM),-0.4539,0.1967,Effectiveness,-2.3075749872902898
Return On Assets (TTM),-0.3971,0.0016,Effectiveness,-248.1875
Return On Investment (TTM),-0.4491,0.0219,Effectiveness,-20.506849315068493
Revenue Per Employee (TTM),298288.0,1476201.0,Effectiveness,0.20206462399090638
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
