,PUBM
Price/Earnings (TTM),16.12348
Price/Sales (TTM),3.23273
Price/Book (MRQ),2.84812
Price/Cash Flow (TTM),9.86178
5yr Low,13.75
5yr High,76.96
5yr Avg Return,-0.08936666666666665
Short Int Current Month,2426546.0
Short Int Prev Month,2501257.0
Short Int Pct of Float,0.060208500000000005
Days to Cover,3.27156
Float,9.23905
Shares Outstanding,52.56614
Institutions Holding Shares,214.0
% Held by Institutions,0.558126
FCF Growth 5yr,0.09851186409506167
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
