,PVAC
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.7627118644067796
Growth 1yr High Est,1.8543897216274092
Growth 1yr Consensus Est,1.3085507930170945
Growth 2yr Low Est,0.7771892655367231
Growth 2yr High Est,0.9767072389082283
Growth 2yr Consensus Est,0.8769482522224756
Growth 5yr Low Est,0.7771892655367231
Growth 5yr High Est,0.9767072389082283
Growth 5yr Consensus Est,0.8769482522224757
Growth 5yr Actual/Est,0.2519102642471519
Growth 3yr Historic,-0.1477761052115731
