,PVH
% Above Low,0.4475
% Held by Institutions,0.9512
52-Wk Range,['43.49 - 113.78']
Annual Dividend $,0.15
Annual Dividend %,0.0024
Ask,62.97
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,2.1
Bid,62.93
Bid Size,200.0
Day Change $,-0.33
Day Change %,-0.0052
Day High,63.55
Day Low,62.06
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",13.07
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.559
Last (size),100.0
Last (time),11:55a ET 11/28/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.84
Prev Close,63.28
Price,62.95
Short Interest,0.0382
Today's Open,62.31
Volume Past Day,(Above Average)
Price/Earnings (TTM),4.8414
Price/Sales (TTM),0.45772
Price/Book (MRQ),0.79736
Price/Cash Flow (TTM),3.35954
5yr Low,28.4
5yr High,169.22
5yr Avg Return,-0.10285
EPS Growth 5yr,0.1430998
Revenue Growth 5yr,0.0221938
Dividend Growth 5yr,
Short Int Current Month,2474713.0
Short Int Prev Month,2371089.0
Short Int Pct of Float,0.0381631
Days to Cover,2.4237
Float,64.85625
Shares Outstanding,65.22122
Institutions Holding Shares,479.0
FCF Growth 5yr,-0.24228861503624596
"Price/Earnings (TTM, GAAP)",4.84
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5789
Operating Profit Margin (TTM),0.1095
Net Profit Margin (TTM),0.10189999999999999
Annual Dividend Yield,0.0024
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1118
EPS Growth (TTM),2.2236000000000002
Revenue Growth (MRQ),0.0044
Revenue Growth (TTM),0.0484
Return On Equity (TTM),0.1795
Return On Assets (TTM),0.0743
Return On Investment (TTM),0.0941
Revenue Per Employee (TTM),474574.0
Total Debt/Total Capital (MRQ),0.29760000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-05-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-06-02 00:00:00
ford since,2022-04-08 00:00:00
marketEdge opinion since,
