,PYPL
% Above Low,0.2002
% Held by Institutions,0.7323999999999999
52-Wk Range,['67.58 - 197.69']
Annual Dividend $,
Annual Dividend %,
Ask,81.12
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,81.1
Bid Size,100.0
Day Change $,1.03
Day Change %,0.0129
Day High,82.92
Day Low,79.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.97
Ex-dividend Date,No dividend
Historical Volatility,0.6
Last (size),100.0
Last (time),12:00p ET 11/28/22
Market Cap,92.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",40.72
Prev Close,80.08
Price,81.11
Short Interest,0.0206
Today's Open,79.93
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,44.0
Growth 1yr Low Est,-0.12
Growth 1yr High Est,-0.1582150101419877
Growth 1yr Consensus Est,-0.13910750507099384
Growth 2yr Low Est,0.0056565656565657485
Growth 2yr High Est,0.023302133483222964
Growth 2yr Consensus Est,0.014479349569894356
Growth 5yr Low Est,0.1207863134981779
Growth 5yr High Est,0.14224327918866259
Growth 5yr Consensus Est,0.13151479634342023
Growth 5yr Actual/Est,0.12270077548522043
Growth 3yr Historic,0.10929497838377117
Price/Earnings (TTM),40.72334
Price/Sales (TTM),3.37461
Price/Book (MRQ),4.53276
Price/Cash Flow (TTM),25.24707
5yr Low,67.58
5yr High,310.16
5yr Avg Return,0.12418333333333331
EPS Growth 5yr,0.2503485
Revenue Growth 5yr,0.1853474
Dividend Growth 5yr,
Short Int Current Month,23395909.0
Short Int Prev Month,20529009.0
Short Int Pct of Float,0.0205743
Days to Cover,1.23256
Float,1137.286
Shares Outstanding,1140.028
Institutions Holding Shares,2937.0
FCF Growth 5yr,0.39196445801082497
"Price/Earnings (TTM, GAAP)",40.72
"PEG Ratio (TTM, GAAP)",3.53
Gross Profit Margin (TTM),0.429
Operating Profit Margin (TTM),0.13470000000000001
Net Profit Margin (TTM),0.085
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),4.9037
EPS Growth (TTM),-0.5265
Revenue Growth (MRQ),0.0059
Revenue Growth (TTM),0.1011
Return On Equity (TTM),0.1086
Return On Assets (TTM),0.0305
Return On Investment (TTM),0.0696
Revenue Per Employee (TTM),875502.0
Total Debt/Total Capital (MRQ),0.3447
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-22 00:00:00
theStreet since,2021-11-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-29 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
