,PYPL
% Above Low,0.2002
% Held by Institutions,0.7323999999999999
52-Wk Range,['67.58 - 197.69']
Annual Dividend $,
Annual Dividend %,
Ask,81.12
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,81.1
Bid Size,100.0
Day Change $,1.03
Day Change %,0.0129
Day High,82.92
Day Low,79.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.97
Ex-dividend Date,No dividend
Historical Volatility,0.6
Last (size),100.0
Last (time),12:00p ET 11/28/22
Market Cap,92.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",40.72
Prev Close,80.08
Price,81.11
Shares Outstanding,1.1B
Short Interest,0.0206
Today's Open,79.93
Volume Past Day,(Below Average)
