,PZZA
% Above Low,0.23420000000000002
% Held by Institutions,1.0607
52-Wk Range,['66.74 - 138.53']
Annual Dividend $,1.68
Annual Dividend %,0.0202
Ask,82.37
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.1
Bid,82.15
Bid Size,300.0
Day Change $,-0.95
Day Change %,-0.011399999999999999
Day High,83.8
Day Low,82.03
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",1.89
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.387
Last (size),152.0
Last (time),12:00p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.11
Prev Close,83.32
Price,82.37
Shares Outstanding,35.3M
Short Interest,0.0707
Today's Open,83.03
Volume Past Day,(Light)
