,QDEL
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2772384034519957
Growth 1yr High Est,-0.25413223140495866
Growth 1yr Consensus Est,-0.2656853174284772
Growth 2yr Low Est,-0.4647386047110725
Growth 2yr High Est,-0.4366229024060804
Growth 2yr Consensus Est,-0.45068075355857645
Growth 5yr Low Est,-0.3098257364740483
Growth 5yr High Est,-0.29108193493738693
Growth 5yr Consensus Est,-0.30045383570571765
Growth 5yr Actual/Est,1.1872287162164634
Growth 3yr Historic,1.3991572350006085
