,QRTEA
Price/Earnings (TTM),
Price/Sales (TTM),0.0727
Price/Book (MRQ),3.69196
Price/Cash Flow (TTM),
5yr Low,1.5
5yr High,29.11
5yr Avg Return,-0.2526666666666666
EPS Growth 5yr,-0.0358534
Revenue Growth 5yr,0.0656546
Dividend Growth 5yr,
Short Int Current Month,15408221.0
Short Int Prev Month,16696949.0
Short Int Pct of Float,0.0452326
Days to Cover,1.43122
Float,341.4038
Shares Outstanding,382.2116
Institutions Holding Shares,377.0
% Held by Institutions,0.8397410000000001
FCF Growth 5yr,-0.40063579244815184
