,RCII
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.026162790697674465
Growth 1yr High Est,0.03370786516853941
Growth 1yr Consensus Est,0.029935327933106937
Growth 2yr Low Est,-0.0903180380789248
Growth 2yr High Est,0.09429958475818268
Growth 2yr Consensus Est,0.0019907733396289373
Growth 5yr Low Est,0.09575007186962847
Growth 5yr High Est,0.18750066957207384
Growth 5yr Consensus Est,0.14162537072085116
Growth 5yr Actual/Est,0.22702170327059007
Growth 3yr Historic,0.03703270437070008
