,RCM
% Above Low,0.1408
% Held by Institutions,0.8445999999999999
52-Wk Range,['6.71 - 27.86']
Annual Dividend $,
Annual Dividend %,
Ask,7.66
Ask Size,700.0
B/A Ratio,1.1428571428571428
B/A Size,800x700
Beta,0.8
Bid,7.65
Bid Size,800.0
Day Change $,-0.145
Day Change %,-0.018600000000000002
Day High,7.91
Day Low,7.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.08
Ex-dividend Date,No dividend
Historical Volatility,0.8590000000000001
Last (size),100.0
Last (time),12:24p ET 11/28/22
Market Cap,3.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",96.08
Prev Close,7.8
Price,7.66
Shares Outstanding,416.5M
Short Interest,0.0581
Today's Open,7.78
Volume Past Day,(Light)
