,RES
% Below High,0.2943
% Held by Institutions,0.3209
52-Wk Range,['3.82 - 12.91']
Annual Dividend $,0.08
Annual Dividend %,0.0088
Ask,9.12
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.8
Bid,9.11
Bid Size,500.0
Day Change $,-0.03
Day Change %,-0.0033
Day High,9.12
Day Low,8.76
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",0.68
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.693
Last (size),100.0
Last (time),12:33p ET 11/28/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.52
Prev Close,9.14
Price,9.11
Shares Outstanding,216.6M
Short Interest,0.0741
Today's Open,8.79
Volume Past Day,(Light)
