,RFP
Price/Earnings (TTM),3.90218
Price/Sales (TTM),0.4275
Price/Book (MRQ),0.76873
Price/Cash Flow (TTM),2.8683
5yr Low,1.14
5yr High,21.22
5yr Avg Return,0.28603333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.0066253
Dividend Growth 5yr,
Short Int Current Month,2413517.0
Short Int Prev Month,2458623.0
Short Int Pct of Float,0.0317294
Days to Cover,5.25786
Float,76.25217
Shares Outstanding,76.92124
Institutions Holding Shares,210.0
% Held by Institutions,0.913344
FCF Growth 5yr,0.4992779071394943
