,RIGL
% Above Low,0.1363
% Held by Institutions,0.7526999999999999
52-Wk Range,['0.64 - 3.52']
Annual Dividend $,
Annual Dividend %,
Ask,0.7288
Ask Size,500.0
B/A Ratio,16.0
B/A Size,8000x500
Beta,1.3
Bid,0.7256
Bid Size,8000.0
Day Change $,-0.0237
Day Change %,-0.0316
Day High,0.75
Day Low,0.715
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.48
Ex-dividend Date,No dividend
Historical Volatility,1.2690000000000001
Last (size),100.0
Last (time),12:48p ET 11/28/22
Market Cap,125.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,0.7509
Price,0.7272
Short Interest,0.0323
Today's Open,0.75
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,2.857142857142857
Growth 1yr High Est,4.75
Growth 1yr Consensus Est,3.803571428571429
Growth 2yr Low Est,1.298941798941799
Growth 2yr High Est,2.0489130434782608
Growth 2yr Consensus Est,1.67392742121003
Growth 5yr Low Est,0.7447490780824113
Growth 5yr High Est,1.2103864734299516
Growth 5yr Consensus Est,0.9775677757561816
Growth 5yr Actual/Est,0.5064651618223045
Growth 3yr Historic,-0.23472222222222222
Price/Earnings (TTM),
Price/Sales (TTM),1.45215
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,0.64
5yr High,5.5
5yr Avg Return,-0.1471
EPS Growth 5yr,
Revenue Growth 5yr,0.4890905
Dividend Growth 5yr,
Short Int Current Month,5509032.0
Short Int Prev Month,5955852.0
Short Int Pct of Float,0.0322608
Days to Cover,3.68188
Float,170.7653
Shares Outstanding,172.8363
Institutions Holding Shares,192.0
FCF Growth 5yr,-1.692952636117762
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9788
Operating Profit Margin (TTM),-0.8845000000000001
Net Profit Margin (TTM),-0.9244
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4054
EPS Growth (TTM),-4.1524
Revenue Growth (MRQ),-0.24850000000000003
Revenue Growth (TTM),-0.3932
Return On Equity (TTM),-5.5379
Return On Assets (TTM),-0.5468999999999999
Return On Investment (TTM),-0.8448000000000001
Revenue Per Employee (TTM),541655.0
Total Debt/Total Capital (MRQ),2.0102
Change in Debt/Total Capital Quarter over Quarter,0.022000000000000002
Quick Ratio (MRQ),2.19
Interest Coverage (MRQ),-29.03
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,
cfra,rating-box
researchTeam,rating-box
theStreet since,2021-12-09 00:00:00
newConstructs since,2022-11-26 00:00:00
marketEdge opinion since,
marketEdge since,
cfra since,
researchTeam since,
