,RJF
Price/Earnings (TTM),17.13441
Price/Sales (TTM),2.27388
Price/Book (MRQ),2.75434
Price/Cash Flow (TTM),15.58364
5yr Low,36.14
5yr High,126.0
5yr Avg Return,0.14584999999999998
EPS Growth 5yr,0.1935256
Revenue Growth 5yr,0.1162532
Dividend Growth 5yr,0.17424720000000002
Short Int Current Month,3212295.0
Short Int Prev Month,2725742.0
Short Int Pct of Float,0.016626600000000002
Days to Cover,2.3418
Float,193.5519
Shares Outstanding,215.0636
Institutions Holding Shares,932.0
% Held by Institutions,0.760517
FCF Growth 5yr,-2.0643854564476816
