,RKLB
% Above Low,0.16149999999999998
% Held by Institutions,0.5653
52-Wk Range,['3.53 - 16.97']
Annual Dividend $,
Annual Dividend %,
Ask,4.11
Ask Size,4300.0
B/A Ratio,0.8837209302325582
B/A Size,3800x4300
Beta,
Bid,4.1
Bid Size,3800.0
Day Change $,-0.08
Day Change %,-0.0191
Day High,4.28
Day Low,4.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.52
Ex-dividend Date,No dividend
Historical Volatility,0.763
Last (size),100.0
Last (time),12:51p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,4.18
Price,4.1
Shares Outstanding,473.3M
Short Interest,0.060700000000000004
Today's Open,4.17
Volume Past Day,(Below Average)
