,ROL
Price/Earnings (TTM),56.95202
Price/Sales (TTM),7.47463
Price/Book (MRQ),16.45895
Price/Cash Flow (TTM),44.47168
5yr Low,19.87
5yr High,43.06
5yr Avg Return,0.15211666666666665
EPS Growth 5yr,0.1589675
Revenue Growth 5yr,0.0902979
Dividend Growth 5yr,0.1384637
Short Int Current Month,12786601.0
Short Int Prev Month,12779578.0
Short Int Pct of Float,0.0528705
Days to Cover,8.42599
Float,234.0885
Shares Outstanding,492.4724
Institutions Holding Shares,738.0
% Held by Institutions,0.41919199999999995
FCF Growth 5yr,0.4400405742249304
