,ROST
Price/Earnings (TTM),28.14132
Price/Sales (TTM),2.17479
Price/Book (MRQ),9.70303
Price/Cash Flow (TTM),22.098
5yr Low,56.3
5yr High,134.22
5yr Avg Return,0.09486666666666667
EPS Growth 5yr,0.114679
Revenue Growth 5yr,0.0801229
Dividend Growth 5yr,0.1611871
Short Int Current Month,6135453.0
Short Int Prev Month,7303994.0
Short Int Pct of Float,0.0181425
Days to Cover,2.19449
Float,338.1968
Shares Outstanding,347.0628
Institutions Holding Shares,1074.0
% Held by Institutions,0.8999079999999999
FCF Growth 5yr,-1.0202968967928825
