,RVLV
% Above Low,0.2536
% Held by Institutions,1.2775
52-Wk Range,['20.17 - 81.39']
Annual Dividend $,
Annual Dividend %,
Ask,25.3
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,25.26
Bid Size,200.0
Day Change $,-0.045
Day Change %,-0.0018
Day High,25.57
Day Low,24.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.07
Ex-dividend Date,No dividend
Historical Volatility,0.747
Last (size),100.0
Last (time),1:24p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",23.59
Prev Close,25.33
Price,25.29
Shares Outstanding,73.3M
Short Interest,0.278
Today's Open,24.99
Volume Past Day,(Light)
