,SAGE
% Below High,0.1589
% Held by Institutions,0.8694
52-Wk Range,['27.36 - 45.74']
Annual Dividend $,
Annual Dividend %,
Ask,38.52
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,38.42
Bid Size,200.0
Day Change $,0.68
Day Change %,0.018000000000000002
Day High,38.81
Day Low,37.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.63
Ex-dividend Date,No dividend
Historical Volatility,0.573
Last (size),100.0
Last (time),1:32p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,37.79
Price,38.47
Short Interest,0.0708
Today's Open,37.53
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.1358024691358024
Growth 1yr High Est,0.23201174743024988
Growth 1yr Consensus Est,0.18390710828302614
Growth 2yr Low Est,0.24561862587224914
Growth 2yr High Est,-0.08482845286413615
Growth 2yr Consensus Est,0.0803950865040565
Growth 5yr Low Est,0.014715409642501592
Growth 5yr High Est,-0.16421392522724879
Growth 5yr Consensus Est,-0.0747492577923736
Growth 5yr Actual/Est,-0.8658244755668045
Growth 3yr Historic,-0.8841686969622071
Price/Earnings (TTM),
Price/Sales (TTM),347.8136
Price/Book (MRQ),1.62903
Price/Cash Flow (TTM),
5yr Low,25.01
5yr High,195.97
5yr Avg Return,-0.05805
Short Int Current Month,3685149.0
Short Int Prev Month,3714533.0
Short Int Pct of Float,0.0708374
Days to Cover,6.93665
Float,52.04517
Shares Outstanding,59.4937
Institutions Holding Shares,285.0
FCF Growth 5yr,0.2759811435823897
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8829000000000001
Operating Profit Margin (TTM),-80.2248
Net Profit Margin (TTM),-78.95270000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.08470000000000001
EPS Growth (TTM),-1.7396
Revenue Growth (MRQ),0.1586
Revenue Growth (TTM),-0.9942000000000001
Return On Equity (TTM),-0.3174
Return On Assets (TTM),-0.299
Return On Investment (TTM),-0.3156
Revenue Per Employee (TTM),13724.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-06-21 00:00:00
theStreet since,2021-08-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
